PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,IsChild,SurvivedText,FamilySize
1,0,3,male,22.0,1,0,7.25,S,Adult,No,2
2,1,1,female,38.0,1,0,71.2833,C,Adult,Yes,2
3,1,3,female,26.0,0,0,7.925,S,Adult,Yes,1
4,1,1,female,35.0,1,0,53.1,S,Adult,Yes,2
5,0,3,male,35.0,0,0,8.05,S,Adult,No,1
6,0,3,male,,0,0,8.4583,Q,Adult,No,1
7,0,1,male,54.0,0,0,51.8625,S,Adult,No,1
8,0,3,male,2.0,3,1,21.075,S,Child,No,5
9,1,3,female,27.0,0,2,11.1333,S,Adult,Yes,3
10,1,2,female,14.0,1,0,30.0708,C,Adult,Yes,2
11,1,3,female,4.0,1,1,16.7,S,Child,Yes,3
12,1,1,female,58.0,0,0,26.55,S,Adult,Yes,1
13,0,3,male,20.0,0,0,8.05,S,Adult,No,1
14,0,3,male,39.0,1,5,31.275,S,Adult,No,7
15,0,3,female,14.0,0,0,7.8542,S,Adult,No,1
16,1,2,female,55.0,0,0,16.0,S,Adult,Yes,1
17,0,3,male,2.0,4,1,29.125,Q,Child,No,6
18,1,2,male,,0,0,13.0,S,Adult,Yes,1
19,0,3,female,31.0,1,0,18.0,S,Adult,No,2
20,1,3,female,,0,0,7.225,C,Adult,Yes,1
21,0,2,male,35.0,0,0,26.0,S,Adult,No,1
22,1,2,male,34.0,0,0,13.0,S,Adult,Yes,1
23,1,3,female,15.0,0,0,8.0292,Q,Adult,Yes,1
24,1,1,male,28.0,0,0,35.5,S,Adult,Yes,1
25,0,3,female,8.0,3,1,21.075,S,Child,No,5
26,1,3,female,38.0,1,5,31.3875,S,Adult,Yes,7
27,0,3,male,,0,0,7.225,C,Adult,No,1
28,0,1,male,19.0,3,2,263.0,S,Adult,No,6
29,1,3,female,,0,0,7.8792,Q,Adult,Yes,1
30,0,3,male,,0,0,7.8958,S,Adult,No,1
31,0,1,male,40.0,0,0,27.7208,C,Adult,No,1
32,1,1,female,,1,0,146.5208,C,Adult,Yes,2
33,1,3,female,,0,0,7.75,Q,Adult,Yes,1
34,0,2,male,66.0,0,0,10.5,S,Adult,No,1
35,0,1,male,28.0,1,0,82.1708,C,Adult,No,2
36,0,1,male,42.0,1,0,52.0,S,Adult,No,2
37,1,3,male,,0,0,7.2292,C,Adult,Yes,1
38,0,3,male,21.0,0,0,8.05,S,Adult,No,1
39,0,3,female,18.0,2,0,18.0,S,Adult,No,3
40,1,3,female,14.0,1,0,11.2417,C,Adult,Yes,2
41,0,3,female,40.0,1,0,9.475,S,Adult,No,2
42,0,2,female,27.0,1,0,21.0,S,Adult,No,2
43,0,3,male,,0,0,7.8958,C,Adult,No,1
44,1,2,female,3.0,1,2,41.5792,C,Child,Yes,4
45,1,3,female,19.0,0,0,7.8792,Q,Adult,Yes,1
46,0,3,male,,0,0,8.05,S,Adult,No,1
47,0,3,male,,1,0,15.5,Q,Adult,No,2
48,1,3,female,,0,0,7.75,Q,Adult,Yes,1
49,0,3,male,,2,0,21.6792,C,Adult,No,3
50,0,3,female,18.0,1,0,17.8,S,Adult,No,2
51,0,3,male,7.0,4,1,39.6875,S,Child,No,6
52,0,3,male,21.0,0,0,7.8,S,Adult,No,1
53,1,1,female,49.0,1,0,76.7292,C,Adult,Yes,2
54,1,2,female,29.0,1,0,26.0,S,Adult,Yes,2
55,0,1,male,65.0,0,1,61.9792,C,Adult,No,2
56,1,1,male,,0,0,35.5,S,Adult,Yes,1
57,1,2,female,21.0,0,0,10.5,S,Adult,Yes,1
58,0,3,male,28.5,0,0,7.2292,C,Adult,No,1
59,1,2,female,5.0,1,2,27.75,S,Child,Yes,4
60,0,3,male,11.0,5,2,46.9,S,Adult,No,8
61,0,3,male,22.0,0,0,7.2292,C,Adult,No,1
62,1,1,female,38.0,0,0,80.0,S,Adult,Yes,1
63,0,1,male,45.0,1,0,83.475,S,Adult,No,2
64,0,3,male,4.0,3,2,27.9,S,Child,No,6
65,0,1,male,,0,0,27.7208,C,Adult,No,1
66,1,3,male,,1,1,15.2458,C,Adult,Yes,3
67,1,2,female,29.0,0,0,10.5,S,Adult,Yes,1
68,0,3,male,19.0,0,0,8.1583,S,Adult,No,1
69,1,3,female,17.0,4,2,7.925,S,Adult,Yes,7
70,0,3,male,26.0,2,0,8.6625,S,Adult,No,3
71,0,2,male,32.0,0,0,10.5,S,Adult,No,1
72,0,3,female,16.0,5,2,46.9,S,Adult,No,8
73,0,2,male,21.0,0,0,73.5,S,Adult,No,1
74,0,3,male,26.0,1,0,14.4542,C,Adult,No,2
75,1,3,male,32.0,0,0,56.4958,S,Adult,Yes,1
76,0,3,male,25.0,0,0,7.65,S,Adult,No,1
77,0,3,male,,0,0,7.8958,S,Adult,No,1
78,0,3,male,,0,0,8.05,S,Adult,No,1
79,1,2,male,0.83,0,2,29.0,S,Child,Yes,3
80,1,3,female,30.0,0,0,12.475,S,Adult,Yes,1
81,0,3,male,22.0,0,0,9.0,S,Adult,No,1
82,1,3,male,29.0,0,0,9.5,S,Adult,Yes,1
83,1,3,female,,0,0,7.7875,Q,Adult,Yes,1
84,0,1,male,28.0,0,0,47.1,S,Adult,No,1
85,1,2,female,17.0,0,0,10.5,S,Adult,Yes,1
86,1,3,female,33.0,3,0,15.85,S,Adult,Yes,4
87,0,3,male,16.0,1,3,34.375,S,Adult,No,5
88,0,3,male,,0,0,8.05,S,Adult,No,1
89,1,1,female,23.0,3,2,263.0,S,Adult,Yes,6
90,0,3,male,24.0,0,0,8.05,S,Adult,No,1
91,0,3,male,29.0,0,0,8.05,S,Adult,No,1
92,0,3,male,20.0,0,0,7.8542,S,Adult,No,1
93,0,1,male,46.0,1,0,61.175,S,Adult,No,2
94,0,3,male,26.0,1,2,20.575,S,Adult,No,4
95,0,3,male,59.0,0,0,7.25,S,Adult,No,1
96,0,3,male,,0,0,8.05,S,Adult,No,1
97,0,1,male,71.0,0,0,34.6542,C,Adult,No,1
98,1,1,male,23.0,0,1,63.3583,C,Adult,Yes,2
99,1,2,female,34.0,0,1,23.0,S,Adult,Yes,2
100,0,2,male,34.0,1,0,26.0,S,Adult,No,2
101,0,3,female,28.0,0,0,7.8958,S,Adult,No,1
102,0,3,male,,0,0,7.8958,S,Adult,No,1
103,0,1,male,21.0,0,1,77.2875,S,Adult,No,2
104,0,3,male,33.0,0,0,8.6542,S,Adult,No,1
105,0,3,male,37.0,2,0,7.925,S,Adult,No,3
106,0,3,male,28.0,0,0,7.8958,S,Adult,No,1
107,1,3,female,21.0,0,0,7.65,S,Adult,Yes,1
108,1,3,male,,0,0,7.775,S,Adult,Yes,1
109,0,3,male,38.0,0,0,7.8958,S,Adult,No,1
110,1,3,female,,1,0,24.15,Q,Adult,Yes,2
111,0,1,male,47.0,0,0,52.0,S,Adult,No,1
112,0,3,female,14.5,1,0,14.4542,C,Adult,No,2
113,0,3,male,22.0,0,0,8.05,S,Adult,No,1
114,0,3,female,20.0,1,0,9.825,S,Adult,No,2
115,0,3,female,17.0,0,0,14.4583,C,Adult,No,1
116,0,3,male,21.0,0,0,7.925,S,Adult,No,1
117,0,3,male,70.5,0,0,7.75,Q,Adult,No,1
118,0,2,male,29.0,1,0,21.0,S,Adult,No,2
119,0,1,male,24.0,0,1,247.5208,C,Adult,No,2
120,0,3,female,2.0,4,2,31.275,S,Child,No,7
121,0,2,male,21.0,2,0,73.5,S,Adult,No,3
122,0,3,male,,0,0,8.05,S,Adult,No,1
123,0,2,male,32.5,1,0,30.0708,C,Adult,No,2
124,1,2,female,32.5,0,0,13.0,S,Adult,Yes,1
125,0,1,male,54.0,0,1,77.2875,S,Adult,No,2
126,1,3,male,12.0,1,0,11.2417,C,Adult,Yes,2
127,0,3,male,,0,0,7.75,Q,Adult,No,1
128,1,3,male,24.0,0,0,7.1417,S,Adult,Yes,1
129,1,3,female,,1,1,22.3583,C,Adult,Yes,3
130,0,3,male,45.0,0,0,6.975,S,Adult,No,1
131,0,3,male,33.0,0,0,7.8958,C,Adult,No,1
132,0,3,male,20.0,0,0,7.05,S,Adult,No,1
133,0,3,female,47.0,1,0,14.5,S,Adult,No,2
134,1,2,female,29.0,1,0,26.0,S,Adult,Yes,2
135,0,2,male,25.0,0,0,13.0,S,Adult,No,1
136,0,2,male,23.0,0,0,15.0458,C,Adult,No,1
137,1,1,female,19.0,0,2,26.2833,S,Adult,Yes,3
138,0,1,male,37.0,1,0,53.1,S,Adult,No,2
139,0,3,male,16.0,0,0,9.2167,S,Adult,No,1
140,0,1,male,24.0,0,0,79.2,C,Adult,No,1
141,0,3,female,,0,2,15.2458,C,Adult,No,3
142,1,3,female,22.0,0,0,7.75,S,Adult,Yes,1
143,1,3,female,24.0,1,0,15.85,S,Adult,Yes,2
144,0,3,male,19.0,0,0,6.75,Q,Adult,No,1
145,0,2,male,18.0,0,0,11.5,S,Adult,No,1
146,0,2,male,19.0,1,1,36.75,S,Adult,No,3
147,1,3,male,27.0,0,0,7.7958,S,Adult,Yes,1
148,0,3,female,9.0,2,2,34.375,S,Child,No,5
149,0,2,male,36.5,0,2,26.0,S,Adult,No,3
150,0,2,male,42.0,0,0,13.0,S,Adult,No,1
151,0,2,male,51.0,0,0,12.525,S,Adult,No,1
152,1,1,female,22.0,1,0,66.6,S,Adult,Yes,2
153,0,3,male,55.5,0,0,8.05,S,Adult,No,1
154,0,3,male,40.5,0,2,14.5,S,Adult,No,3
155,0,3,male,,0,0,7.3125,S,Adult,No,1
156,0,1,male,51.0,0,1,61.3792,C,Adult,No,2
157,1,3,female,16.0,0,0,7.7333,Q,Adult,Yes,1
158,0,3,male,30.0,0,0,8.05,S,Adult,No,1
159,0,3,male,,0,0,8.6625,S,Adult,No,1
160,0,3,male,,8,2,69.55,S,Adult,No,11
161,0,3,male,44.0,0,1,16.1,S,Adult,No,2
162,1,2,female,40.0,0,0,15.75,S,Adult,Yes,1
163,0,3,male,26.0,0,0,7.775,S,Adult,No,1
164,0,3,male,17.0,0,0,8.6625,S,Adult,No,1
165,0,3,male,1.0,4,1,39.6875,S,Child,No,6
166,1,3,male,9.0,0,2,20.525,S,Child,Yes,3
167,1,1,female,,0,1,55.0,S,Adult,Yes,2
168,0,3,female,45.0,1,4,27.9,S,Adult,No,6
169,0,1,male,,0,0,25.925,S,Adult,No,1
170,0,3,male,28.0,0,0,56.4958,S,Adult,No,1
171,0,1,male,61.0,0,0,33.5,S,Adult,No,1
172,0,3,male,4.0,4,1,29.125,Q,Child,No,6
173,1,3,female,1.0,1,1,11.1333,S,Child,Yes,3
174,0,3,male,21.0,0,0,7.925,S,Adult,No,1
175,0,1,male,56.0,0,0,30.6958,C,Adult,No,1
176,0,3,male,18.0,1,1,7.8542,S,Adult,No,3
177,0,3,male,,3,1,25.4667,S,Adult,No,5
178,0,1,female,50.0,0,0,28.7125,C,Adult,No,1
179,0,2,male,30.0,0,0,13.0,S,Adult,No,1
180,0,3,male,36.0,0,0,0.0,S,Adult,No,1
181,0,3,female,,8,2,69.55,S,Adult,No,11
182,0,2,male,,0,0,15.05,C,Adult,No,1
183,0,3,male,9.0,4,2,31.3875,S,Child,No,7
184,1,2,male,1.0,2,1,39.0,S,Child,Yes,4
185,1,3,female,4.0,0,2,22.025,S,Child,Yes,3
186,0,1,male,,0,0,50.0,S,Adult,No,1
187,1,3,female,,1,0,15.5,Q,Adult,Yes,2
188,1,1,male,45.0,0,0,26.55,S,Adult,Yes,1
189,0,3,male,40.0,1,1,15.5,Q,Adult,No,3
190,0,3,male,36.0,0,0,7.8958,S,Adult,No,1
191,1,2,female,32.0,0,0,13.0,S,Adult,Yes,1
192,0,2,male,19.0,0,0,13.0,S,Adult,No,1
193,1,3,female,19.0,1,0,7.8542,S,Adult,Yes,2
194,1,2,male,3.0,1,1,26.0,S,Child,Yes,3
195,1,1,female,44.0,0,0,27.7208,C,Adult,Yes,1
196,1,1,female,58.0,0,0,146.5208,C,Adult,Yes,1
197,0,3,male,,0,0,7.75,Q,Adult,No,1
198,0,3,male,42.0,0,1,8.4042,S,Adult,No,2
199,1,3,female,,0,0,7.75,Q,Adult,Yes,1
200,0,2,female,24.0,0,0,13.0,S,Adult,No,1
201,0,3,male,28.0,0,0,9.5,S,Adult,No,1
202,0,3,male,,8,2,69.55,S,Adult,No,11
203,0,3,male,34.0,0,0,6.4958,S,Adult,No,1
204,0,3,male,45.5,0,0,7.225,C,Adult,No,1
205,1,3,male,18.0,0,0,8.05,S,Adult,Yes,1
206,0,3,female,2.0,0,1,10.4625,S,Child,No,2
207,0,3,male,32.0,1,0,15.85,S,Adult,No,2
208,1,3,male,26.0,0,0,18.7875,C,Adult,Yes,1
209,1,3,female,16.0,0,0,7.75,Q,Adult,Yes,1
210,1,1,male,40.0,0,0,31.0,C,Adult,Yes,1
211,0,3,male,24.0,0,0,7.05,S,Adult,No,1
212,1,2,female,35.0,0,0,21.0,S,Adult,Yes,1
213,0,3,male,22.0,0,0,7.25,S,Adult,No,1
214,0,2,male,30.0,0,0,13.0,S,Adult,No,1
215,0,3,male,,1,0,7.75,Q,Adult,No,2
